Frame,F1 (Head Tilt),F2 (Slouch),Class
119,1.33,1.43,sit up straight
120,1.35,1.43,sit up straight
121,1.41,1.43,sit up straight
122,1.43,1.43,sit up straight
123,1.43,1.42,sit up straight
124,1.45,1.42,sit up straight
125,1.47,1.42,sit up straight
126,1.46,1.42,sit up straight
127,1.35,1.43,sit up straight
128,1.07,1.43,sit up straight
129,1.12,1.43,sit up straight
130,1.01,1.44,sit up straight
131,1.02,1.43,sit up straight
132,0.74,1.44,sit up straight
133,0.72,1.44,sit up straight
134,0.71,1.43,sit up straight
135,0.7,1.43,sit up straight
136,0.71,1.43,sit up straight
137,0.65,1.44,sit up straight
138,0.63,1.44,sit up straight
139,0.63,1.44,sit up straight
140,0.59,1.44,sit up straight
141,0.59,1.44,sit up straight
142,0.61,1.44,sit up straight
143,0.53,1.44,sit up straight
144,0.53,1.44,sit up straight
145,0.53,1.44,sit up straight
146,0.53,1.44,sit up straight
147,0.54,1.44,sit up straight
148,0.56,1.44,sit up straight
149,0.53,1.44,sit up straight
150,0.53,1.44,sit up straight
151,0.52,1.44,sit up straight
152,0.59,1.44,sit up straight
153,0.61,1.43,sit up straight
154,0.57,1.43,sit up straight
155,0.57,1.44,sit up straight
156,0.6,1.44,sit up straight
157,0.57,1.44,sit up straight
158,0.62,1.43,sit up straight
159,0.61,1.43,sit up straight
160,0.61,1.43,sit up straight
161,0.64,1.44,sit up straight
162,0.65,1.44,sit up straight
163,0.65,1.43,sit up straight
164,0.65,1.44,sit up straight
165,0.63,1.44,sit up straight
166,0.61,1.44,sit up straight
167,0.63,1.43,sit up straight
168,0.6,1.43,sit up straight
169,0.58,1.43,sit up straight
170,0.58,1.43,sit up straight
171,0.53,1.44,sit up straight
172,0.53,1.43,sit up straight
173,0.49,1.44,sit up straight
174,0.53,1.43,sit up straight
175,0.53,1.44,sit up straight
176,0.49,1.43,sit up straight
177,0.49,1.43,sit up straight
178,0.5,1.43,sit up straight
179,0.46,1.43,sit up straight
180,0.48,1.43,sit up straight
181,0.46,1.42,sit up straight
182,0.48,1.43,sit up straight
183,0.49,1.42,sit up straight
184,0.49,1.42,sit up straight
185,0.48,1.42,sit up straight
186,0.5,1.42,sit up straight
187,0.47,1.42,sit up straight
188,0.5,1.42,sit up straight
189,0.5,1.42,sit up straight
190,0.51,1.42,sit up straight
191,0.52,1.42,sit up straight
192,0.5,1.41,sit up straight
193,0.52,1.42,sit up straight
194,0.53,1.42,sit up straight
195,0.52,1.41,sit up straight
196,0.53,1.41,sit up straight
197,0.53,1.41,sit up straight
198,0.53,1.42,sit up straight
199,0.52,1.42,sit up straight
200,0.53,1.42,sit up straight
201,0.54,1.42,sit up straight
202,0.53,1.42,sit up straight
203,0.54,1.42,sit up straight
204,0.54,1.42,sit up straight
205,0.5,1.42,sit up straight
206,0.52,1.42,sit up straight
207,0.51,1.41,sit up straight
208,0.54,1.42,sit up straight
209,0.59,1.43,sit up straight
210,0.59,1.45,sit up straight
211,0.55,1.44,sit up straight
212,0.65,1.47,sit up straight
213,0.61,1.47,looks good
214,1.12,1.41,sit up straight
215,1.05,1.48,sit up straight
216,0.93,1.47,sit up straight
217,0.99,1.46,sit up straight
218,0.98,1.45,sit up straight
219,0.99,1.45,sit up straight
220,0.95,1.45,sit up straight
221,0.98,1.44,sit up straight
222,0.85,1.44,sit up straight
223,0.78,1.43,sit up straight
224,0.82,1.43,sit up straight
225,0.71,1.42,sit up straight
226,0.69,1.42,sit up straight
227,0.72,1.43,sit up straight
228,0.71,1.43,sit up straight
229,0.72,1.43,sit up straight
230,0.77,1.43,sit up straight
231,0.73,1.43,sit up straight
232,0.74,1.42,sit up straight
233,0.79,1.4,sit up straight
234,0.73,1.39,sit up straight
235,0.72,1.39,sit up straight
236,0.69,1.39,sit up straight
237,0.72,1.39,sit up straight
238,0.66,1.39,sit up straight
239,0.65,1.39,sit up straight
240,0.67,1.39,sit up straight
241,0.66,1.38,sit up straight
242,0.67,1.38,sit up straight
243,0.67,1.38,sit up straight
244,0.69,1.37,sit up straight
245,0.7,1.37,sit up straight
246,0.66,1.36,sit up straight
247,0.68,1.35,sit up straight
248,0.71,1.34,sit up straight
249,0.68,1.34,sit up straight
250,0.69,1.33,sit up straight
251,0.73,1.33,sit up straight
252,0.7,1.32,sit up straight
253,0.69,1.32,sit up straight
254,0.69,1.32,sit up straight
255,0.7,1.33,sit up straight
256,0.69,1.32,sit up straight
257,0.65,1.31,sit up straight
258,0.65,1.32,sit up straight
259,0.63,1.31,sit up straight
260,0.63,1.31,sit up straight
261,0.68,1.31,sit up straight
262,0.68,1.31,sit up straight
263,0.66,1.3,sit up straight
264,0.69,1.3,sit up straight
265,0.72,1.3,sit up straight
266,0.71,1.29,sit up straight
267,0.69,1.3,sit up straight
268,0.71,1.3,sit up straight
269,0.77,1.3,sit up straight
270,0.74,1.31,sit up straight
271,0.75,1.31,sit up straight
272,0.75,1.3,sit up straight
273,0.75,1.3,sit up straight
274,0.75,1.3,sit up straight
275,0.75,1.3,sit up straight
276,0.76,1.3,sit up straight
277,0.73,1.3,sit up straight
278,0.74,1.3,sit up straight
279,0.76,1.3,sit up straight
280,0.77,1.3,sit up straight
281,0.74,1.3,sit up straight
282,0.72,1.3,sit up straight
283,0.7,1.31,sit up straight
284,0.73,1.31,sit up straight
285,0.72,1.31,sit up straight
286,0.71,1.31,sit up straight
287,0.69,1.3,sit up straight
288,0.64,1.3,sit up straight
289,0.66,1.29,sit up straight
290,0.64,1.3,sit up straight
291,0.64,1.3,sit up straight
292,0.59,1.3,sit up straight
293,0.59,1.3,sit up straight
294,0.62,1.3,sit up straight
295,0.63,1.3,sit up straight
296,0.64,1.3,sit up straight
297,0.64,1.3,sit up straight
298,0.65,1.3,sit up straight
299,0.67,1.29,sit up straight
300,0.66,1.3,sit up straight
301,0.63,1.3,sit up straight
302,0.64,1.29,sit up straight
303,0.66,1.29,sit up straight
304,0.64,1.29,sit up straight
305,0.62,1.29,sit up straight
306,0.64,1.29,sit up straight
307,0.66,1.29,sit up straight
308,0.64,1.29,sit up straight
309,0.69,1.29,sit up straight
310,0.67,1.29,sit up straight
311,0.68,1.29,sit up straight
312,0.68,1.29,sit up straight
313,0.68,1.29,sit up straight
314,0.67,1.29,sit up straight
315,0.73,1.29,sit up straight
316,0.73,1.29,sit up straight
317,0.69,1.29,sit up straight
318,0.69,1.29,sit up straight
319,0.7,1.29,sit up straight
320,0.69,1.29,sit up straight
321,0.72,1.28,sit up straight
322,0.73,1.29,sit up straight
323,0.72,1.28,sit up straight
324,0.71,1.28,sit up straight
325,0.74,1.28,sit up straight
326,0.77,1.27,sit up straight
327,0.81,1.28,sit up straight
328,0.81,1.28,sit up straight
329,0.84,1.27,sit up straight
330,0.81,1.28,sit up straight
331,0.85,1.28,sit up straight
332,0.85,1.28,sit up straight
333,0.85,1.28,sit up straight
334,0.89,1.28,sit up straight
335,0.88,1.28,sit up straight
336,0.88,1.28,sit up straight
337,0.9,1.27,sit up straight
338,0.91,1.27,sit up straight
339,0.87,1.27,sit up straight
340,0.88,1.27,sit up straight
341,0.88,1.27,sit up straight
342,0.9,1.27,sit up straight
343,0.91,1.27,sit up straight
344,0.95,1.26,sit up straight
345,0.92,1.27,sit up straight
346,0.91,1.26,sit up straight
347,0.91,1.26,sit up straight
348,0.92,1.26,sit up straight
349,0.93,1.26,sit up straight
350,0.94,1.26,sit up straight
351,0.94,1.26,sit up straight
352,0.93,1.26,sit up straight
353,0.94,1.26,sit up straight
354,0.96,1.26,sit up straight
355,0.98,1.25,sit up straight
356,0.99,1.26,sit up straight
357,1.01,1.26,sit up straight
358,1.02,1.26,sit up straight
359,1.02,1.26,sit up straight
360,0.99,1.26,sit up straight
361,1.01,1.26,sit up straight
362,1.01,1.26,sit up straight
363,1.0,1.26,sit up straight
364,1.04,1.26,sit up straight
365,0.99,1.26,sit up straight
366,1.02,1.26,sit up straight
367,1.01,1.26,sit up straight
368,1.0,1.25,sit up straight
369,1.0,1.25,sit up straight
370,1.03,1.25,sit up straight
371,1.04,1.25,sit up straight
372,1.03,1.25,sit up straight
373,1.04,1.25,sit up straight
374,1.03,1.25,sit up straight
375,1.04,1.25,sit up straight
376,1.05,1.25,sit up straight
377,1.02,1.25,sit up straight
378,1.06,1.25,sit up straight
379,1.08,1.25,sit up straight
380,1.09,1.25,sit up straight
381,1.1,1.25,sit up straight
382,1.09,1.25,sit up straight
383,1.11,1.25,sit up straight
384,1.14,1.25,sit up straight
385,1.13,1.25,sit up straight
386,1.09,1.25,sit up straight
387,1.09,1.25,sit up straight
388,1.04,1.25,sit up straight
389,1.04,1.25,sit up straight
390,0.86,1.25,sit up straight
391,0.82,1.25,sit up straight
392,0.47,1.25,sit up straight
393,0.11,1.25,sit up straight
394,0.09,1.25,sit up straight
395,-0.16,1.24,sit up straight
396,-0.15,1.24,sit up straight
397,-0.06,1.25,sit up straight
398,-0.19,1.24,sit up straight
399,-0.23,1.24,sit up straight
400,-0.24,1.24,sit up straight
401,-0.21,1.24,sit up straight
402,-0.23,1.24,sit up straight
403,-0.22,1.24,sit up straight
404,-0.23,1.24,sit up straight
405,-0.19,1.24,sit up straight
406,-0.14,1.24,sit up straight
407,-0.12,1.24,sit up straight
408,-0.14,1.24,sit up straight
409,-0.04,1.24,sit up straight
410,-0.04,1.24,sit up straight
411,-0.06,1.24,sit up straight
412,0.04,1.25,sit up straight
413,0.14,1.26,sit up straight
414,0.06,1.26,sit up straight
415,0.22,1.25,sit up straight
416,0.21,1.25,sit up straight
417,0.28,1.25,sit up straight
418,0.28,1.25,sit up straight
419,0.4,1.26,sit up straight
420,0.42,1.26,sit up straight
421,0.41,1.26,sit up straight
422,0.42,1.26,sit up straight
423,0.39,1.26,sit up straight
424,0.37,1.26,sit up straight
425,0.38,1.26,sit up straight
426,0.35,1.29,sit up straight
427,0.5,1.31,sit up straight
428,0.51,1.31,sit up straight
429,0.58,1.32,sit up straight
430,0.55,1.32,sit up straight
431,0.55,1.32,sit up straight
432,0.54,1.32,sit up straight
433,0.63,1.33,sit up straight
434,0.58,1.33,sit up straight
435,0.59,1.33,sit up straight
436,0.6,1.33,sit up straight
437,0.59,1.33,sit up straight
438,0.61,1.33,sit up straight
439,0.58,1.33,sit up straight
440,0.54,1.34,sit up straight
441,0.61,1.33,sit up straight
442,0.61,1.33,sit up straight
443,0.63,1.33,sit up straight
444,0.63,1.33,sit up straight
445,0.64,1.33,sit up straight
446,0.68,1.33,sit up straight
447,0.65,1.32,sit up straight
448,0.64,1.32,sit up straight
449,0.61,1.32,sit up straight
450,0.59,1.31,sit up straight
451,0.62,1.32,sit up straight
452,0.63,1.32,sit up straight
453,0.64,1.32,sit up straight
454,0.69,1.31,sit up straight
455,0.69,1.31,sit up straight
456,0.72,1.31,sit up straight
457,0.7,1.31,sit up straight
458,0.68,1.3,sit up straight
459,0.68,1.3,sit up straight
460,0.69,1.29,sit up straight
461,0.74,1.29,sit up straight
462,0.8,1.29,sit up straight
463,0.79,1.28,sit up straight
464,0.78,1.28,sit up straight
465,0.76,1.28,sit up straight
466,0.79,1.29,sit up straight
467,0.81,1.29,sit up straight
468,0.78,1.3,sit up straight
469,0.77,1.31,sit up straight
470,0.72,1.31,sit up straight
471,0.8,1.32,sit up straight
472,0.8,1.32,sit up straight
473,0.78,1.34,sit up straight
474,0.79,1.35,sit up straight
475,0.86,1.37,sit up straight
476,0.86,1.37,sit up straight
477,0.86,1.37,sit up straight
478,0.9,1.39,sit up straight
479,0.89,1.38,sit up straight
480,0.9,1.39,sit up straight
481,0.88,1.4,sit up straight
482,0.9,1.41,sit up straight
483,0.86,1.41,sit up straight
484,0.9,1.43,sit up straight
485,0.9,1.43,sit up straight
486,0.92,1.43,sit up straight
487,0.91,1.45,sit up straight
488,0.91,1.45,sit up straight
489,0.9,1.44,sit up straight
490,0.87,1.45,sit up straight
491,0.83,1.45,sit up straight
492,0.86,1.46,sit up straight
493,0.85,1.48,sit up straight
494,0.84,1.48,looks good
495,0.82,1.5,looks good
496,0.84,1.5,looks good
497,0.84,1.5,looks good
498,0.81,1.5,looks good
499,0.82,1.49,looks good
500,0.81,1.49,looks good
501,0.81,1.49,looks good
502,0.81,1.49,looks good
503,0.82,1.49,looks good
504,0.85,1.49,looks good
505,0.83,1.49,looks good
506,0.82,1.49,looks good
507,0.83,1.48,looks good
508,0.82,1.48,looks good
509,0.82,1.49,looks good
510,0.81,1.48,looks good
511,0.85,1.48,looks good
512,0.83,1.49,looks good
513,0.83,1.49,looks good
514,0.82,1.49,looks good
515,0.84,1.48,looks good
516,0.81,1.48,looks good
517,0.84,1.49,looks good
518,0.85,1.49,looks good
519,0.83,1.49,looks good
520,0.84,1.49,looks good
521,0.81,1.48,looks good
522,0.84,1.48,looks good
523,0.83,1.48,looks good
524,0.9,1.49,looks good
525,0.85,1.48,looks good
526,0.79,1.47,sit up straight
527,0.86,1.46,sit up straight
528,0.86,1.46,sit up straight
529,0.86,1.46,sit up straight
530,0.9,1.45,sit up straight
531,0.87,1.45,sit up straight
532,0.9,1.45,sit up straight
533,0.86,1.45,sit up straight
534,0.88,1.45,sit up straight
535,0.88,1.45,sit up straight
536,0.88,1.45,sit up straight
537,0.86,1.45,sit up straight
538,0.9,1.45,sit up straight
539,0.9,1.45,sit up straight
540,0.89,1.45,sit up straight
541,0.89,1.45,sit up straight
542,0.89,1.45,sit up straight
543,0.89,1.45,sit up straight
544,0.88,1.45,sit up straight
545,0.88,1.45,sit up straight
546,0.88,1.45,sit up straight
547,0.89,1.45,sit up straight
548,0.93,1.45,sit up straight
549,0.93,1.45,sit up straight
550,0.91,1.45,sit up straight
551,0.91,1.45,sit up straight
552,0.92,1.45,sit up straight
553,0.93,1.45,sit up straight
554,0.93,1.45,sit up straight
555,0.92,1.45,sit up straight
556,0.91,1.45,sit up straight
557,0.88,1.45,sit up straight
558,0.89,1.45,sit up straight
559,0.88,1.45,sit up straight
560,0.87,1.45,sit up straight
561,0.88,1.45,sit up straight
562,0.89,1.45,sit up straight
563,0.89,1.45,sit up straight
564,0.89,1.45,sit up straight
565,0.91,1.45,sit up straight
566,0.91,1.45,sit up straight
567,0.92,1.45,sit up straight
568,0.92,1.45,sit up straight
569,0.95,1.45,sit up straight
570,0.96,1.44,sit up straight
571,0.96,1.44,sit up straight
572,0.97,1.45,sit up straight
573,0.97,1.45,sit up straight
574,0.96,1.45,sit up straight
575,0.96,1.45,sit up straight
576,0.97,1.45,sit up straight
577,0.96,1.45,sit up straight
578,0.96,1.46,sit up straight
579,0.99,1.45,sit up straight
580,0.98,1.45,sit up straight
581,1.0,1.45,sit up straight
582,0.99,1.45,sit up straight
583,1.0,1.45,sit up straight
584,0.97,1.45,sit up straight
585,0.95,1.45,sit up straight
586,0.95,1.46,sit up straight
587,0.95,1.46,sit up straight
588,0.95,1.46,sit up straight
589,0.95,1.46,sit up straight
590,0.96,1.46,sit up straight
591,0.95,1.46,sit up straight
592,0.95,1.46,sit up straight
593,0.95,1.46,sit up straight
594,0.96,1.46,sit up straight
595,0.99,1.46,sit up straight
596,0.95,1.46,sit up straight
597,0.92,1.47,sit up straight
598,0.89,1.47,sit up straight
599,0.89,1.47,sit up straight
600,0.91,1.47,sit up straight
601,0.97,1.48,sit up straight
602,0.97,1.48,sit up straight
603,0.97,1.48,sit up straight
604,1.04,1.49,looks good
605,1.08,1.49,sit up straight
606,1.41,1.48,sit up straight
607,1.4,1.48,sit up straight
608,1.43,1.48,sit up straight
609,1.49,1.48,sit up straight
610,1.51,1.48,sit up straight
611,1.45,1.48,sit up straight
612,1.43,1.49,sit up straight
613,1.43,1.49,sit up straight
614,1.37,1.5,sit up straight
615,1.36,1.5,sit up straight
616,1.37,1.5,sit up straight
617,1.34,1.49,sit up straight
618,1.32,1.49,sit up straight
619,1.3,1.49,sit up straight
620,1.31,1.49,sit up straight
621,1.35,1.48,sit up straight
622,1.35,1.48,sit up straight
623,1.41,1.48,sit up straight
624,1.44,1.48,sit up straight
625,1.46,1.47,sit up straight
626,1.47,1.47,sit up straight
627,1.46,1.47,sit up straight
628,1.49,1.47,sit up straight
629,1.51,1.47,sit up straight
630,1.54,1.47,sit up straight
631,1.54,1.47,sit up straight
632,1.54,1.47,sit up straight
633,1.51,1.46,sit up straight
634,1.47,1.46,sit up straight
635,1.48,1.46,sit up straight
636,1.46,1.46,sit up straight
637,1.47,1.46,sit up straight
638,1.4,1.45,sit up straight
639,1.38,1.45,sit up straight
640,1.4,1.46,sit up straight
641,1.39,1.46,sit up straight
642,1.31,1.46,sit up straight
643,1.31,1.47,sit up straight
644,1.25,1.47,sit up straight
645,1.28,1.47,sit up straight
646,1.24,1.46,sit up straight
647,1.23,1.46,sit up straight
648,1.2,1.46,sit up straight
649,1.2,1.46,sit up straight
650,1.19,1.45,sit up straight
651,1.18,1.45,sit up straight
652,1.16,1.45,sit up straight
653,1.13,1.45,sit up straight
654,1.12,1.45,sit up straight
655,1.09,1.44,sit up straight
656,1.07,1.44,sit up straight
657,1.1,1.44,sit up straight
658,1.1,1.44,sit up straight
659,1.11,1.44,sit up straight
660,1.07,1.44,sit up straight
661,1.08,1.44,sit up straight
662,1.06,1.44,sit up straight
663,1.05,1.44,sit up straight
664,1.05,1.44,sit up straight
665,1.05,1.44,sit up straight
666,1.05,1.43,sit up straight
667,1.06,1.43,sit up straight
668,1.06,1.43,sit up straight
669,1.06,1.43,sit up straight
670,1.07,1.43,sit up straight
671,1.06,1.43,sit up straight
672,1.06,1.43,sit up straight
673,1.07,1.43,sit up straight
674,1.07,1.43,sit up straight
675,1.07,1.43,sit up straight
676,1.07,1.43,sit up straight
677,1.08,1.43,sit up straight
678,1.1,1.44,sit up straight
679,1.08,1.44,sit up straight
680,1.06,1.44,sit up straight
681,1.1,1.44,sit up straight
682,1.09,1.44,sit up straight
683,1.06,1.44,sit up straight
684,1.06,1.44,sit up straight
685,1.04,1.44,sit up straight
686,1.03,1.44,sit up straight
687,1.05,1.44,sit up straight
688,1.07,1.44,sit up straight
689,1.08,1.44,sit up straight
690,1.07,1.44,sit up straight
691,1.09,1.44,sit up straight
692,1.1,1.45,sit up straight
693,1.1,1.45,sit up straight
694,1.1,1.45,sit up straight
695,1.11,1.44,sit up straight
696,1.11,1.44,sit up straight
697,1.11,1.45,sit up straight
698,1.17,1.45,sit up straight
699,1.14,1.45,sit up straight
700,1.16,1.44,sit up straight
701,1.16,1.45,sit up straight
702,1.14,1.44,sit up straight
703,1.17,1.44,sit up straight
704,1.16,1.44,sit up straight
705,1.14,1.44,sit up straight
706,1.14,1.44,sit up straight
707,1.16,1.44,sit up straight
708,1.19,1.44,sit up straight
709,1.08,1.43,sit up straight
710,1.06,1.42,sit up straight
711,1.06,1.42,sit up straight
712,1.15,1.41,sit up straight
713,1.14,1.42,sit up straight
714,1.1,1.41,sit up straight
715,1.12,1.41,sit up straight
716,1.16,1.41,sit up straight
717,1.18,1.41,sit up straight
718,1.17,1.42,sit up straight
719,1.18,1.38,sit up straight
720,1.17,1.38,sit up straight
721,1.13,1.36,sit up straight
722,1.06,1.35,sit up straight
723,1.02,1.36,sit up straight
724,0.97,1.36,sit up straight
725,0.98,1.36,sit up straight
726,0.92,1.34,sit up straight
727,0.87,1.33,sit up straight
728,0.84,1.32,sit up straight
729,0.82,1.33,sit up straight
730,0.85,1.33,sit up straight
731,0.85,1.33,sit up straight
732,0.84,1.33,sit up straight
733,0.81,1.32,sit up straight
734,0.84,1.32,sit up straight
735,0.84,1.32,sit up straight
736,0.87,1.32,sit up straight
737,0.91,1.31,sit up straight
738,0.89,1.31,sit up straight
739,0.9,1.31,sit up straight
740,0.89,1.31,sit up straight
741,0.99,1.31,sit up straight
742,0.95,1.33,sit up straight
743,0.96,1.32,sit up straight
744,0.96,1.33,sit up straight
745,0.94,1.35,sit up straight
746,0.96,1.38,sit up straight
747,0.89,1.39,sit up straight
748,0.9,1.4,sit up straight
749,0.97,1.43,sit up straight
750,0.98,1.46,sit up straight
751,0.92,1.48,sit up straight
752,0.93,1.5,looks good
753,4.52,22.61,straighten head
754,2.72,2.82,straighten head
755,2.38,2.09,straighten head
756,2.2,1.99,straighten head
757,2.16,1.79,straighten head
758,1.81,1.69,straighten head
759,2.37,1.87,straighten head
760,2.97,2.31,straighten head
761,1.68,1.77,straighten head
762,2.18,1.86,straighten head
763,1.65,1.69,straighten head
764,1.49,1.61,straighten head
765,1.44,1.58,straighten head
766,1.35,1.58,straighten head
767,1.29,1.58,straighten head
768,1.29,1.57,straighten head
769,1.24,1.57,straighten head
770,1.3,1.56,straighten head
771,1.32,1.56,straighten head
772,1.27,1.56,straighten head
773,1.19,1.56,straighten head
774,1.2,1.56,straighten head
775,1.23,1.55,straighten head
776,1.28,1.54,straighten head
777,1.25,1.54,straighten head
778,1.21,1.52,sit up straight
779,0.89,1.45,sit up straight
780,1.05,1.45,sit up straight
781,1.05,1.43,sit up straight
782,1.1,1.43,sit up straight
783,1.16,1.42,sit up straight
784,1.21,1.42,sit up straight
785,1.29,1.42,sit up straight
786,1.29,1.42,sit up straight
787,1.31,1.42,sit up straight
788,1.36,1.41,sit up straight
789,1.33,1.41,sit up straight
790,1.36,1.41,sit up straight
791,1.41,1.42,sit up straight
792,1.43,1.42,sit up straight
793,1.4,1.41,sit up straight
794,1.45,1.42,sit up straight
795,1.41,1.42,sit up straight
796,1.44,1.42,sit up straight
797,1.51,1.41,sit up straight
798,1.48,1.41,sit up straight
799,1.49,1.41,sit up straight
800,1.5,1.41,sit up straight
801,1.49,1.41,sit up straight
802,1.5,1.41,sit up straight
803,1.51,1.41,sit up straight
804,1.5,1.41,sit up straight
805,1.47,1.41,sit up straight
806,1.45,1.42,sit up straight
807,1.43,1.41,sit up straight
808,1.42,1.41,sit up straight
809,1.43,1.41,sit up straight
810,1.4,1.41,sit up straight
811,1.41,1.41,sit up straight
812,1.42,1.41,sit up straight
813,1.41,1.41,sit up straight
814,1.38,1.41,sit up straight
815,1.39,1.42,sit up straight
816,1.32,1.42,sit up straight
817,1.32,1.42,sit up straight
818,1.29,1.42,sit up straight
819,1.3,1.42,sit up straight
820,1.13,1.4,sit up straight
821,1.07,1.4,sit up straight
822,1.04,1.4,sit up straight
823,0.98,1.4,sit up straight
824,1.01,1.41,sit up straight
825,0.94,1.39,sit up straight
826,0.81,1.37,sit up straight
827,0.83,1.37,sit up straight
828,0.8,1.35,sit up straight
829,0.82,1.35,sit up straight
830,0.77,1.34,sit up straight
831,0.8,1.34,sit up straight
832,0.91,1.29,sit up straight
833,0.97,1.28,sit up straight
834,1.0,1.28,sit up straight
835,1.07,1.27,sit up straight
836,1.12,1.27,sit up straight
837,0.83,1.22,sit up straight
838,0.85,1.21,sit up straight
839,0.9,1.21,sit up straight
840,0.92,1.2,sit up straight
841,0.97,1.19,sit up straight
842,0.96,1.19,sit up straight
843,1.0,1.19,sit up straight
844,0.9,1.17,sit up straight
845,0.86,1.16,sit up straight
846,0.86,1.17,sit up straight
847,0.56,1.13,sit up straight
848,0.68,1.15,sit up straight
849,0.76,1.14,sit up straight
850,0.52,1.14,sit up straight
851,0.45,1.13,sit up straight
852,0.59,1.14,sit up straight
853,0.71,1.15,sit up straight
854,0.82,1.16,sit up straight
855,0.86,1.16,sit up straight
856,0.96,1.16,sit up straight
857,0.95,1.16,sit up straight
858,0.95,1.17,sit up straight
859,0.97,1.16,sit up straight
860,0.99,1.16,sit up straight
861,0.87,1.17,sit up straight
862,0.9,1.18,sit up straight
863,0.93,1.17,sit up straight
864,0.91,1.17,sit up straight
865,0.92,1.17,sit up straight
866,0.93,1.18,sit up straight
867,0.6,1.15,sit up straight
868,0.72,1.15,sit up straight
869,0.81,1.15,sit up straight
870,0.73,1.15,sit up straight
871,0.75,1.15,sit up straight
872,0.68,1.14,sit up straight
873,0.65,1.14,sit up straight
874,0.6,1.15,sit up straight
875,0.56,1.15,sit up straight
876,0.57,1.15,sit up straight
877,0.61,1.15,sit up straight
878,0.62,1.14,sit up straight
879,0.6,1.15,sit up straight
880,0.57,1.15,sit up straight
881,0.55,1.15,sit up straight
